Proteins	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	"Genes of polypeptide, complex, or RNA"	Pathways of enzyme	UniProt-via-RefSeq	NCBI-Protein	Data-Source	Pfam
adenylate kinase	nucleoside monophosphate phosphorylation // AMP salvage // phosphorylation // nucleotide biosynthetic process // nucleobase-containing compound metabolic process	cytoplasm	nucleobase-containing compound kinase activity // transferase activity // kinase activity // ATP binding // adenylate kinase activity // nucleotide binding	adk	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine ribonucleotides <i>de novo</i> biosynthesis	WP_011863645.1	WP_011863645.1		PF00406
HAMP domain-containing histidine kinase	phosphorylation // signal transduction // phosphorelay signal transduction system		kinase activity // phosphorelay sensor kinase activity	P9301_RS17480		WP_011863681.1	WP_011863681.1		
hypothetical protein				P9301_RS09290		WP_041484647.1	WP_041484647.1		
Uncharacterized protein conserved in bacteria				P9301_RS09740		WP_011862161.1	WP_011862161.1		
DUF3067 family protein				P9301_RS11455		WP_011862486.1	WP_011862486.1		PF11267
tRNA dihydrouridine(20/20a) synthase DusA	tRNA processing // tRNA dihydrouridine synthesis		tRNA-dihydrouridine20 synthase activity // flavin adenine dinucleotide binding // tRNA dihydrouridine synthase activity // oxidoreductase activity // FMN binding // catalytic activity // RNA binding // tRNA binding	dusA		WP_011862041.1	WP_011862041.1		PF01207
membrane protein		integral component of membrane // membrane		P9301_RS16050		WP_011818901.1	WP_011818901.1		PF01027
Possible S1 RNA binding domain-containing protein				P9301_RS13285		WP_011862844.1	WP_011862844.1		
hydroxymethylbilane synthase	tetrapyrrole biosynthetic process // peptidyl-pyrromethane cofactor linkage // chlorophyll biosynthetic process // protoporphyrinogen IX biosynthetic process // porphyrin-containing compound biosynthetic process		transferase activity // hydroxymethylbilane synthase activity	hemC	tetrapyrrole biosynthesis I (from glutamate)	WP_011862515.1	WP_011862515.1		PF01379
metal ABC transporter permease	transmembrane transport	ATP-binding cassette (ABC) transporter complex // integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	ATPase-coupled transmembrane transporter activity	P9301_RS14475		WP_011863090.1	WP_011863090.1		PF00950
50S ribosomal protein L28	translation	ribosome	structural constituent of ribosome	rpmB		WP_011862928.1	WP_011862928.1		PF00830
3-deoxy-manno-octulosonate cytidylyltransferase			nucleotidyltransferase activity // transferase activity // 3-deoxy-manno-octulosonate cytidylyltransferase activity	P9301_RS15720	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	WP_011863335.1	WP_011863335.1		PF02348
DNA repair protein RadA	cellular response to DNA damage stimulus // DNA repair // recombinational repair		"metal ion binding // ATPase, acting on DNA // ATP binding // damaged DNA binding // DNA binding // nucleotide binding"	radA		WP_011862178.1	WP_011862178.1		PF18073
hypothetical protein				P9301_RS14535		WP_011818578.1	WP_011818578.1		
trypsin-like serine protease	proteolysis		peptidase activity // serine-type endopeptidase activity	P9301_RS09595		WP_011862132.1	WP_011862132.1		PF13365
D-alanine--D-alanine ligase	cell wall organization // peptidoglycan biosynthetic process // regulation of cell shape	cytoplasm	metal ion binding // ligase activity // D-alanine-D-alanine ligase activity // ATP binding // nucleotide binding	ddl	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	WP_011863422.1	WP_011863422.1		PF01820
spermidine synthase	spermidine biosynthetic process // polyamine biosynthetic process	cytoplasm	transferase activity // spermidine synthase activity // catalytic activity	speE	spermidine biosynthesis I	WP_011863781.1	WP_011863781.1		PF17284
enoyl-ACP reductase FabI	fatty acid biosynthetic process		enoyl-[acyl-carrier-protein] reductase activity // oxidoreductase activity // enoyl-[acyl-carrier-protein] reductase (NADH) activity	fabI	"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // fatty acid elongation -- saturated // <i>cis</i>-vaccenate biosynthesis // stearate biosynthesis II (bacteria and plants) // gondoate biosynthesis (anaerobic) // palmitate biosynthesis II (bacteria and plant cytoplasm)"	WP_011862322.1	WP_011862322.1		PF13561
DNA polymerase III epsilon subunit				dnaQ		WP_011862637.1	WP_011862637.1		PF00929
Possible Paired amphipathic helix repeat				P9301_RS14220		WP_011863036.1	WP_011863036.1		
citrate synthase		cytoplasm	"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer // transferase activity, transferring acyl groups // transferase activity"	gltA	partial TCA cycle (obligate autotrophs)	WP_011862206.1	WP_011862206.1		PF00285
carboxysome shell protein CsoS2				csoS2		WP_011862569.1	WP_011862569.1		PF12288
BamA/TamA family outer membrane protein		outer membrane // membrane		P9301_RS16345		WP_011863451.1	WP_011863451.1		PF08479
Possible chorismate-binding enzyme				P9301_RS15135		WP_011863223.1	WP_011863223.1		
single-stranded DNA-binding protein	DNA replication		single-stranded DNA binding // DNA binding	P9301_RS17710		WP_011863723.1	WP_011863723.1		PF00436
cytochrome <i>c</i><sub>M</sub>				cytM		WP_041484698.1	WP_041484698.1		PF13442
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway // phosphorylation // terpenoid biosynthetic process // isoprenoid biosynthetic process"		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity // transferase activity // kinase activity // ATP binding // nucleotide binding	P9301_RS13525	methylerythritol phosphate pathway II	WP_011862897.1	WP_011862897.1		PF00288
dethiobiotin synthetase	biotin biosynthetic process	cytoplasm	metal ion binding // ligase activity // ATP binding // dethiobiotin synthase activity // magnesium ion binding // nucleotide binding	cioD	biotin biosynthesis from 8-amino-7-oxononanoate III // biotin biosynthesis from 8-amino-7-oxononanoate I	WP_041484782.1	WP_041484782.1		PF13500
sulfur carrier protein ThiS adenylyltransferase			ubiquitin-like modifier activating enzyme activity	thiF	superpathway of thiamine diphosphate biosynthesis II // thiazole component of thiamine diphosphate biosynthesis II	WP_011863671.1	WP_011863671.1		PF00899
TIGR04168 family protein			hydrolase activity	P9301_RS12675		WP_071813377.1	WP_071813377.1		PF00149
hypothetical protein				P9301_RS09975		WP_011862207.1	WP_011862207.1		
flavin oxidoreductase			oxidoreductase activity // FMN binding	P9301_RS09325		WP_011862073.1	WP_011862073.1		PF01613
preprotein translocase subunit SecY	intracellular protein transmembrane transport // protein transport by the Sec complex // protein transport // protein targeting	thylakoid membrane // integral component of membrane // membrane // thylakoid // plasma membrane		secY		WP_011863646.1	WP_011863646.1		PF00344
SIS domain-containing protein	carbohydrate derivative metabolic process		carbohydrate derivative binding	P9301_RS15880		WP_011863366.1	WP_011863366.1		
hypothetical protein				P9301_RS14145		WP_011863020.1	WP_011863020.1		
DUF4278 domain-containing protein				P9301_RS18270		WP_011375973.1	WP_011375973.1		PF14105
twin-arginine translocase subunit TatC	protein transport by the Tat complex // protein transport	TAT protein transport complex // integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	protein transmembrane transporter activity	tatC		WP_011862487.1	WP_011862487.1		PF00902
hypothetical protein				P9301_RS17595		WP_011863705.1	WP_011863705.1		
tRNA 2-thiouridine(34) synthase MnmA	tRNA processing // tRNA modification	cytoplasm	sulfurtransferase activity // transferase activity // ATP binding // RNA binding // nucleotide binding // tRNA binding	mnmA	tRNA-uridine 2-thiolation and selenation (bacteria)	WP_011863406.1	WP_011863406.1		PF03054
DUF3764 domain-containing protein				P9301_RS11035		WP_011862407.1	WP_011862407.1		PF12594
repressor LexA	"negative regulation of transcription, DNA-templated // SOS response // cellular response to DNA damage stimulus // proteolysis // DNA repair // DNA replication"		hydrolase activity // serine-type endopeptidase activity // DNA binding	lexA		WP_011863379.1	WP_011863379.1		PF01726
30S ribosomal protein S18	translation	ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rpsR		WP_002806014.1	WP_002806014.1		PF01084
Possible Integrin alpha cytoplasmic region	integrin-mediated signaling pathway	integral component of membrane // membrane		P9301_RS14410		WP_011863074.1	WP_011863074.1		
hypothetical protein				P9301_RS16615		WP_011863518.1	WP_011863518.1		
Nif11-like leader peptide family natural product precursor				P9301_RS10925		WP_011862379.1	WP_011862379.1		PF07862
hypothetical protein				P9301_RS12900		WP_011862772.1	WP_011862772.1		
methionine adenosyltransferase	one-carbon metabolic process // S-adenosylmethionine biosynthetic process	cytoplasm	metal ion binding // transferase activity // ATP binding // methionine adenosyltransferase activity // magnesium ion binding // nucleotide binding	P9301_RS10740	S-adenosyl-L-methionine biosynthesis // <i>S</i>-adenosyl-L-methionine cycle II // L-methionine degradation I (to L-homocysteine)	WP_011862348.1	WP_011862348.1		PF00438
photosystem II reaction center protein Ycf12				P9301_RS18455	oxygenic photosynthesis // photosynthesis light reactions	WP_144010216.1	WP_144010216.1		PF05969
creatininase family protein			creatininase activity // hydrolase activity	P9301_RS11805		WP_011862550.1	WP_011862550.1		PF02633
hypothetical protein		integral component of membrane // membrane		P9301_RS15475		WP_011863288.1	WP_011863288.1		
tRNA lysidine(34) synthetase TilS	tRNA processing // tRNA modification	cytoplasm	"ligase activity, forming carbon-nitrogen bonds // ligase activity // ATP binding // nucleotide binding"	tilS		WP_011863748.1	WP_011863748.1		PF01171
hypothetical protein				P9301_RS10965		WP_041484742.1	WP_041484742.1		
MtN3 and saliva related protein				P9301_RS15570		WP_041484711.1	WP_041484711.1		PF04193
hypothetical protein				P9301_RS13925		WP_011862974.1	WP_011862974.1		
hypothetical protein				P9301_RS16250		WP_011863435.1	WP_011863435.1		
HlyC/CorC family transporter		integral component of membrane // membrane	flavin adenine dinucleotide binding	P9301_RS10545		WP_011862314.1	WP_011862314.1		PF01595
oligoketide cyclase				P9301_RS14715		WP_011863134.1	WP_011863134.1		PF03364
photosystem II reaction center protein PsbN	photosynthesis	thylakoid membrane // integral component of membrane // membrane // thylakoid // photosystem II reaction center // photosystem II		psbN	oxygenic photosynthesis // photosynthesis light reactions	WP_011817745.1	WP_011817745.1		PF02468
Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	regulation of translational fidelity // translation		glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity // ligase activity // ATP binding // nucleotide binding	gatC	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	WP_011862278.1	WP_011862278.1		PF02686
adenosylmethionine--8-amino-7-oxononanoate transaminase	biotin biosynthetic process		pyridoxal phosphate binding // transferase activity // transaminase activity // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // catalytic activity	bioA	biotin biosynthesis from 8-amino-7-oxononanoate I	WP_011863582.1	WP_011863582.1		PF00202
hypothetical protein		integral component of membrane // membrane		P9301_RS11465		WP_011376025.1	WP_011376025.1		
"Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component"	'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	cytoplasm	ligase activity // ATP binding // phosphoribosylformylglycinamidine synthase activity // nucleotide binding	purS		WP_011862816.1	WP_011862816.1		PF02700
hypothetical protein		integral component of membrane // membrane		P9301_RS14255		WP_011863044.1	WP_011863044.1		
50S ribosomal protein L15	translation	large ribosomal subunit // ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rplO		WP_011863647.1	WP_011863647.1		PF00828
rubredoxin		integral component of membrane // membrane	metal ion binding // iron ion binding	rub		WP_011862335.1	WP_011862335.1		PF00301
hypothetical protein				P9301_RS16620		WP_041484723.1	WP_041484723.1		
hydantoin utilization protein		integral component of membrane // membrane		P9301_RS14960		WP_011863180.1	WP_011863180.1		PF04955
diflavin flavoprotein A			oxidoreductase activity // FMN binding	P9301_RS09330		WP_011862074.1	WP_011862074.1		PF01613
hypothetical protein		integral component of membrane // membrane		P9301_RS09745		WP_011862162.1	WP_011862162.1		
hypothetical protein				P9301_RS14885		WP_011863166.1	WP_011863166.1		
cytochrome b6-f complex subunit PetG	electron transport chain // cytochrome complex assembly // photosynthesis	thylakoid membrane // integral component of membrane // membrane // thylakoid // cytochrome b6f complex	"electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity"	petG	oxygenic photosynthesis // photosynthesis light reactions	WP_011376619.1	WP_011376619.1		PF02529
peptidase S41	proteolysis	integral component of membrane // membrane	hydrolase activity // serine-type peptidase activity // peptidase activity	P9301_RS10810		WP_011862360.1	WP_011862360.1		PF03572
DNA repair protein RecO	cellular response to DNA damage stimulus // DNA recombination // DNA repair			recO		WP_011862423.1	WP_011862423.1		PF11967
RNA polymerase sigma factor RpoD	"regulation of DNA-templated transcription, initiation // regulation of gene expression // regulation of transcription, DNA-templated // DNA-templated transcription, initiation // transcription initiation from bacterial-type RNA polymerase promoter"	cytoplasm	sigma factor activity // DNA-binding transcription factor activity // DNA binding	rpoD		WP_011862516.1	WP_011862516.1		PF00140
